Enlace;ID;Sitio;ultima IP;IP;Mask;
;3970003;cerro Cacahuatique;172.17.53.158;172.17.53.130;255.255.255.224;
Los Terreritos > Nueva Esparta;391447;Los Terreritos;172.17.52.26;172.17.52.25;255.255.255.252;
;391410;Nueva Esparta;172.17.53.222;172.17.53.194;255.255.255.224;
Nueva Esparta 2 > Nueva Esparta;391448;Nueva Esparta 2;172.17.52.30;172.17.52.29;255.255.255.252;
;391410;Nueva Esparta;172.17.53.222;172.17.53.195;255.255.255.224;
Poloros > Nueva Esparta;391453;Poloros;172.17.52.34;172.17.52.33;255.255.255.252;
;391410;Nueva Esparta;172.17.53.222;172.17.53.196;255.255.255.224;
Nueva Esparta > Torrecillas;391410;Nueva Esparta;172.17.53.222;172.17.53.193;255.255.255.224;
;3970011;cerro Torrecillas;172.17.53.30;172.17.53.3;255.255.255.224;
Miramar 2 > Zaragoza;390460;Miramar 2;172.17.0.70;172.17.0.69;255.255.255.252;
;390413;Zaragoza;172.16.1.254;172.16.1.7;255.255.255.0;
El Chile > Zacatecoluca;390248;El Chile;172.17.28.2;172.17.28.1;255.255.255.252;
;390201;Zacatecoluca;172.16.8.254;172.16.8.2;255.255.255.0;
Los Mogotes > Tacachico;390751;Los Mogotes;172.17.4.14;172.17.4.13;255.255.255.252;
;390416;Tacachico;172.17.5.30;172.17.5.26;255.255.255.248;
Tacachico > Cerro Pacho;390416;Tacachico;172.17.5.30;172.17.5.25;255.255.255.248;
;391043;Cerro Pacho;172.16.2.254;172.16.2.4;255.255.255.0;
Santa Maria Ostuma > Cojutepeque;390247;Santa Maria Ostuma;172.17.16.10;172.17.16.9;255.555.255.252;
;390302;Cojutepeque;172.16.5.254;172.16.5.3;255.255.255.0;
Para¡so de Osorio > Cojutepeque;390253;Paraiso de Osorio;172.17.16.14;172.17.16.13;255.255.255.252;
;390302;Cojutepeque;172.16.5.254;172.16.5.4;255.255.255.0;
San Jacinto Coatepeque > El Faro;390758;San Jacinto Coatepeque;172.17.4.18;172.17.4.17;255.255.255.252;
;390703;El Faro;172.16.2.254;172.16.2.9;255.255.255.0;
Guadalupe LZ > Costa del sol 3;390252;Guadalupe LZ;172.17.28.6;172.17.28.5;255.255.255.252;
;390208;Costa del sol iii;172.17.29.30;172.17.29.2;255.255.255.240;
Potos¡ > Cacahuatique;#N/D;Potosi;172.17.52.42;172.17.52.41;255.255.255.252;
;3970003;cerro Cacahuatique;172.17.53.158;172.17.53.131;255.255.255.224;
Pasaquina 2 > Pasaquina ;391450;Pasaquina 2;172.17.36.6;172.17.36.5;255.255.255.252;
;391404;Pasaquina;172.17.37.30;172.17.37.18;255.255.255.240;
Longitudinal 18 > Cacahuatique;391325;Longitudinal 18;172.17.52.46;172.17.52.45;255.255.255.252;
;3970003;Cerro Cacahuatique;172.17.53.158;172.17.53.132;255.255.255.224;
Chilanguera > Jucuar n;#N/D;Chilanguera;172.17.36.10;172.17.36.9;255.255.255.252;
;391214;Jucuaran;172.17.37.110;172.17.37.99;255.255.255.240;
Quinta Dorada > El Chulo 2;391679;Quinta Dorada;172.17.0.73;172.17.0.73;255.255.255.252;
;#N/D;El Chulo 2;172.16.1.254;172.16.1.8;255.255.255.0;
Atami > Vista mar;390459;Atami;172.17.0.78;172.17.0.77;255.255.255.252;
;#N/D;Vista mar;172.17.1.62;172.17.1.35;255.255.255.224;
San Mart¡n 3 > San Mart¡n;#N/D;San Mart¡n 3;172.17.24.2;172.17.24.1;255.255.255.252;
;#N/D;San Mart¡n;172.16.7.254;172.16.7.2;255.255.255.0;
El Porvenir 2 > Cojutepeque;390322;El Porvenir 2;172.17.16.18;172.17.16.17;255.255.255.252;
;390302;Cojutepeque;172.16.5.254;172.16.5.5;255.255.255.0;
San Rafael Obrajuelo > Zacatecoluca;#N/D;San Rafael Obrajuelo;172.17.28.10;172.17.28.9;255.255.255.252;
;390201;Zacatecoluca;172.16.8.254;172.16.8.3;255.255.255.0;
El Cuco > Cerro Conchagua;390611;El Cuco;172.16.10.38;172.17.37.33;255.255.255.240;
;391458;Cerro Conchagua;172.16.10.254;172.16.10.4;255.255.255.0;
El Tamarindo > Cerro Conchagua;391405;El Tamarindo;172.17.37.94;172.17.37.81;255.255.255.240;
;391458;Cerro Conchagua;172.16.10.254;172.16.10.5;255.255.255.0;
El Cuco 2 > El Cuco ;#N/D;El Cuco 2;172.17.36.14;172.17.36.13;255.255.255.252;
;390611;El Cuco;172.16.10.38;172.17.37.34;255.255.255.240;
El Tamarindo 2 > El Tamarindo ;391434;El Tamarindo 2;172.17.36.18;172.17.36.17;255.255.255.252;
;391405;EL Tamarindo;172.17.37.94;172.17.37.82;255.255.255.240;
Playas Negras > Tamarindo ;391428;Playas Negras;172.17.36.22;172.17.36.21;255.255.255.252;
;#N/D;Tamarindo;172.17.37.94;172.17.37.83;255.255.255.240;
Metap n 2 (Rep) > Metap n 1;#N/D;Metap n 2 (Rep);172.17.5.46;172.17.5.34;255.255.255.240;
;#N/D;Metap n 1;172.17.5.62;172.17.5.49;255.255.255.240;
Guazapa 2 > Aguilares;391661;Guazapa 2;172.17.16.134;172.17.16.133;255.255.255.252;
;391572;Aguilares;172.17.17.254;172.17.17.39;255.255.255.0;
Lolotique > Mercedes Uma¤a;390604;Lolotique;172.17.53.126;172.17.53.97;255.255.255.224;
;#N/D;Mercedes Uma¤a;172.16.14.254;172.16.14.4;255.255.255.0;
Nahuilingo > Sonsonate 1;390834;Nahuilingo;172.17.8.10;172.17.8.9;255.255.255.252;
;#N/D;Sonsonate 1;172.16.3.254;172.16.3.3;255.255.255.0;
Cant¢n el Zapotal > Los Hoyos;#N/D;Cant¢n el Zapotal;172.17.18.62;172.17.18.57;255.255.255.248;
;390517;Los Hoyos;172.17.18.13;172.17.18.2;255.255.255.240;
Potonico > Potonico Repetidor;391045;Potonico;172.17.16.26;172.17.16.25;255.255.255.252;
;#N/D;Potonico Repetidor;172.17.18.38;172.17.18.34;255.255.255.248;
Nombre de Jes£s > Los Hoyos;#N/D;Nombre de Jes£s ;172.17.18.110;172.17.18.105;255.255.255.248;
;390517;Los Hoyos;172.17.18.13;172.17.18.4;255.255.255.240;
Los Hoyos > Cojutepeque;390517;Los Hoyos;172.17.18.13;172.17.18.1;255.255.255.240;
;#N/D; Cojutepeque;172.16.5.254;172.16.5.6;255.255.255.0;
Metap n 2 (Rep) > El Faro;#N/D;Metap n 2 (Rep);172.17.5.62;172.17.5.33;255.255.255.240;
;390703;El Faro;172.16.2.254;172.16.2.10;255.255.255.0;
Cacahuatique > San Miguel 1;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.129;255.255.255.224;
;#N/D;San Miguel 1;172.16.14.254;172.16.14.5;255.255.255.0;
Tecoluca 2 > Tecoluca;391124;Tecoluca 2;172.17.32.2;172.17.32.1;255.255.255.252;
;391107;Tecoluca;172.17.33.6;172.17.33.2;255.255.255.248;
La Estancia > Cacahuatique;391326;La Estancia;172.17.52.50;172.17.52.49;255.255.255.252;
;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.133;255.255.255.224;
Sensuntepeque > Cojutepeque;390502;Sensuntepeque;172.17.18.30;172.17.18.17;255.255.255.240;
;390302;Cojutepeque;172.16.5.254;172.16.5.7;255.255.255.0;
Borrar;#N/D;Borrar;Borrar;Borrar;Borrar;
;#N/D;Borrar;Borrar;Borrar;Borrar;
Santa Anita > Lolotique;#N/D;Santa Anita ;172.17.52.58;172.17.52.57;255.255.255.252;
;390604;Lolotique;172.53.53.126;172.17.53.99;255.255.255.224;
AltaVistas Cto Commercial > IMSA;#N/D;AltaVistas Cto Commercial ;172.17.24.6;172.17.24.5;255.255.255.252;
;#N/D;IMSA;172.16.7.254;172.16.7.3;255.255.255.0;
La Quesadilla > El Ciprs;#N/D;La Quesadilla ;172.17.36.30;172.17.36.29;255.255.255.252;
;#N/D;El Ciprs;172.17.37.62;172.17.37.58;255.255.255.248;
Agua Caliente La Uni¢n > Cerro Conchagua;#N/D;Agua Caliente La Uni¢n;172.17.36.26;172.17.36.25;255.255.255.252;
;391458;Cerro Conchagua;172.16.10.254;172.16.10.6;255.255.255.0;
Caluco > Sonsonate 1;390835;Caluco;172.17.8.14;172.17.8.13;255.255.255.252;
