SITEID;NOMBRE DE SITIO;LATITUDE;LONGITUDE;NIC/NIS;Distribuidora;Llave Requerida;Altura;Columna1;In-Building;Support Type;Porte;Tech;Tipo de Transmision;Nombre para Propietario ;Tipo Ubicaci¢n;Propietario;Direcci¢n;Municipio
392001;SAN MATIAS 2;13.885694;-89.308578;Pendiente;0;;50;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;UL;FO;SAN MATIAS;Co-Ubicado;KGI;Canton Santa Teresa Villa de San Matias;San Matias
390842;TONALA;13.584251;-89.729086;5550573;CLESA;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;2G/3G/4G;FO;ES63866-B Tonala;Co-Ubicado;SBA;Hacienda Canad†, Asentamiento Comunitario El Casta§o, Pol°gono E, Solar numero 64, correspondiente a la ubicaci¢n geogr†fica de El Presidio, Municipio y Departamento de Sonsonate;Tonala
392002;QUEZALTEPEQUE 4;13.840292;-89.277941;Pendiente;0;;45;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;UL;FO;QUEZALTEPEQUE;Co-Ubicado;TETRA;Lotificaci¢n San JosÇ 2, Cant¢n El Puente, Municipio de Quezaltepeque, Departamento de La Libertad;Quezaltepeque
390843;IZALCO 3;13.74631;-89.67758;5675065;CLESA;;24;;OUTDOOR;MONOPOLO;PEQUE•O;3G/4G;FO;Izalcoˇ3 ;Co-Ubicado;TETRA;CALLE LA UNION  Y BARRIO SANTA CRUZ,  IZALCO,DEPARTAMENTO DE SONSONATE;Izalco
392003;CIUDAD VERSALLES 3;13.793408;-89.362417;Pendiente;0;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;UL;FO;CIUDAD VERSALLES SV-01-0241-07;Co-Ubicado;Sites;Hacienda El Sitio Del Ni§o, Poligo 2, Lote 59. ( Llave en poder del Vigilante);San Juan Opico
390846;METALIO;13.64664;-89.88024;Pendiente;0;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;3G/4G;MW;ES76820-B METALIO;Co-Ubicado;SBA;Comunidad San JosÇ, Pol°gono La Chalata, Lote 231 A, Acajutla;Acajutla
392005;CAMPOS VERDES 2;13.712757;-89.372139;Pendiente;0;;30;;OUTDOOR;MONOPOLO;PEQUE•O;UL;FO;CAMPOS VERDES 2;Co-Ubicado;TESCO SA DE CV;Av. Del Rio, Campos Verdes 2, La Libertad, ubicado a 100 mts. de Parque de Campos Verdes 2.;Colon
390847;SAN JULIAN PUEBLO 2;13.698292;-89.554912;5852706;CLESA;;30;;OUTDOOR;MONOPOLO;PEQUE•O;3G/4G;FO;TBS02029 San Julian Pueblo;Co-Ubicado;TETRA;"Colonia Ibiza, poligono ""C"", lote #7, Municipio de San Julian, Departamento de Sonsonate.";San Julian
392007;SALIDA OPICO (Hacienda Los Palmitos);13.882933;-89.349621;Pendiente;0;;60;;OUTDOOR;AUTOSOPORTADA;PEQUE•O;UL;FO;HACIENDA LOS PALMITOS SV-01-0436-08;Co-Ubicado;Sites; Hda. Los Palmitos, San Juan Opico La Libertad;San Juan Opico
390848;SONSONATE CENTRO;13.719355;-89.728241;5706759;CLESA;;25;;OUTDOOR;AZOTEA;PEQUE•O;2G/3G/4G;FO;SONSONATE SV-01-0940-95;Co-Ubicado;Sites;2a calle oriente y avenida morazan;Sonsonate
