SITEID;Nombre de Sitio;Torrero;Nombre Torrero
3970010;POTONICO TX;TORRECOM;POTONICO TX
3970017;NODO SAN MIGUEL METROCENTRO;MOVISTAR;NODO SAN MIGUEL METROCENTRO
391399;NODO GOTERA;MOVISTAR;NODO GOTERA
390201;ZACATECOLUCA ;MOVISTAR;ZACATECOLUCA
390202;EL PEDREGAL ;MECOM SA DE CV;El Pedregal
390203;SAN RAFAEL OBRAJUELOS ;TORRECOM;TSVTF08294 SAN RAFAEL OBRAJUELOS
390204;AEROPUERTO ;MOVISTAR;AEROPUERTO
390205;COMALAPA ;SBA;ES61391-A Comalapa (ES-0001)
390206;OLOCUILTA (Nodo);MOVISTAR;TES0043 Olocuilta
390207;COSTA DEL SOL II ;SBA;ES61392-A Costa del Sol II
390208;COSTA DEL SOL III ;MECOM SA DE CV;COSTA DEL SOL III
390209;EL PLAYON ;SBA;ES61393-A El Playon
390210;COSTA DEL SOL I ;PHOENIX;SV-PA-1073 Costa del Sol I
390211;AEROPUERTO INTERNACIONAL;MOVISTAR;Aeropuerto Internacional/ Zona pasajeros
390213;SAN PEDRO MASAHUAT ;SBA;ES61395-A San Pedro Masahuat
390214;MIRAMAR;SBA;ES18DF5-A Zona Franca Miramar
390215;JERUSALEN ;SBA;ES61396-A Jerusalem
390216;CUYULTITAN;TORRECOM;TSVTF08307 CUYULTITAN
390217;SAN ANTONIO MASAHUAT;SBA;ES61397-A San Antonio Masahuat
390218;ZACATECOLUCA CATEDRAL ;MOVISTAR;ZACATECOLUCA CATEDRAL
390219;CARRETERA TECOLUCA (LA JOYA) ;PHOENIX;SV-PA-1069 La Joya
390220;COSTA DEL SOL 4 ;SBA;ES61333-A Costa del Sol
390221;SANTIAGO NONUALCO ;TORRECOM;Santiago Nonualco
390222;SAN PEDRO NONUALCO ;SBA;ES61398-A San Pedro Nonualco
390223;SAN JUAN TEZONTES;PHOENIX;SV-PA-1072 SAN JUAN TEPEZONTES
390224;SAN JUAN TALPA ;TORRECOM;TSVTF08309 SAN JUAN TALPA
390225;SAN EMIGDIO;TORRECOM;TSVTF08310 SAN EMIGDIO
390226;ZONA DE CARGA AEROPUERTO ;MOVISTAR;Zona de Carga Aeropuerto
390227;SAN LUIS LA HERRADURA ;TETRA;La Herradura
390229;LAS ISLETAS ;INTELFON;La Herradura
390230;SAN JUAN NONUALCO ;SBA;ES63872-A San Juan Nonualco
390231;ENTRE RIOS ;SBA;ES62527-A Entre Rios
390232;ZACATECOLUCA 2 ;TETRA;4-008-SV Zacatecoluca 2
390233;MONTELIMAR ;SBA;s
390234;VALLA CARRETERA A COMALAPA KM 33;COLITE EL SALVADOR;VALLA Km 33 CARR. AL AEROPUERTO
390235;ROSARIO DE LA PAZ;SBA;ES58582-A Rosario De La Paz
390236;COSTA REAL ;SBA;ES62289-B Costa Real
390237;LA PALMA SRO ;SBA;ES62290-B La Palma SRO
390238;AMATECAMPO ;SBA;ES58543-A Amatecampo (La Zunganera)
390239;HACIENDA SANTO TOMAS ;SBA;ES18E7B-A Hacienda Santo Tomas
390240;SAN FRANCISCO CHINAMECA;SBA;ES58438-A San Francisco Chinameca
390241;SAN LUIS TALPA ;SBA;ES18E7A-A San Luis Talpa
390242;SAN MARCELINO ;TETRA;PaseoÿdelÿSol
390243;TIHUILOCOYO;SBA;ES18E8A-A El Cauca/Tihuilocoyo
390246;SAN SEBASTIAN ARRIBA;SBA;ES63517-B San Sebastian Arriba
390247;SANTA MARIA OSTUMA ;TETRA;Santa Maria de Ostuma
390248;EL CHILE ;TETRA;El Chile El Chile
390249;ZACATECOLUCA 12 ;SBA;ES58226-A Zacatecoluca 12
390250;EL MIRADOR;TETRA;El Mirador
390251;HOTEL QUALITY ;MOVISTAR;Hotel Quality
390252;GUADALUPE LZ;TETRA;Guadalupe La Zorra Guadalupe La Zorra
390253;PARAISO DE OSORIO ;TETRA;Paraiso de Osorio
390255;AEROMAN ;TORRECOM;TSVDG08001 Aeroman
390256;PLAZA LOS COCOS ;PHOENIX;SV-PA-1013 DESVIO  ZACATECOLUCA
390301;SUCHITOTO ;TORRECOM;TSVTF07293 SUCHITOTO
390302;COJUTEPEQUE ;TORRECOM;TSVTF07311 COJUTEPEQUE
390303;EL CARMEN CUSCATLAN ;PHOENIX;SV-CU-1035 San Rafael Cedros
390304;SAN PEDRO PERULAPAN ;SBA;ES61399-A San Pedro Perulapan
390305;TENANCINGO ;SBA;ES61400-A Tenancingo
390306;SANTA CRUZ ANALQUITO ;SBA;ES61401-A Santa Cruz Analquito
390307;ORATORIO DE CONCEPCION ;TORRECOM;TSVTF07312 ORATORIO DE CONCEPCION
390308;SANTA CRUZ MICHAPA ;TORRECOM;TSVTF07313 SANTA CRUZ MICHAPA
390309;COJUTEPEQUE 2 ;TETRA;Cojutepeque 2
390310;SAN RAMON ;SBA;ES58507-A SAN RAMON, CUSCATLµN
390311;SAN JOSE GUAYABAL;PHOENIX;SV-CU-1004 San Jos‚ Guayabal
390312;SAN RAFAEL CEDROS ;SBA;ES18F17-A San Rafael Cedros
390313;CANDELARIA CUSCATLAN ;PHOENIX;SV-CU-1005 CANDELARIA
390314;ORATORIO DE CONCEPCION 2;SBA;ES58508-A Oratorio De Concepcion
390315;TECOLUCO ;SBA;ES58148-A Tecoluco
390316;PERULAPAN ;SBA;ES62430-B Perulapan 2
390318;COJUTEPEQUE 3 ;SBA;ES68486-B COJUTEPEQUE
390321;MONTE SAN JUAN;TETRA;Monte San Juan
390322;EL PORVENIR 2;TETRA;El Porvenir
390426;CANGREJERA ;PHOENIX;SV-LI-1162 CANGREJERA 2
390501;ILOBASCO ;PHOENIX;SV-CA-1034 ILOBASCO
390502;SENSUNTEPEQUE ;TORRECOM;TSVTF09295 SENSUNTEPEQUE
390503;VILLA DOLORES;TORRECOM;TSVTF09319 VILLA DOLORES
390504;TEJUTEPEQUE ;SBA;ES61410-A Tejutepeque
390505;GUACOTECTI ;SBA;ES58664-A San Francisco El Dorado
390506;QUESERA ABAJO ;TETRA;Quesera Abajo
390507;SAN ISIDRO ;TORRECOM;TSVTF09320 SAN ISIDRO
390508;ILOBASCO 2 ;SBA;ES58408-A Ilobasco 2
390509;ILOBASCO 3 ;SBA;ES58263-A Ilobasco 3
390510;LA LABOR ;SBA;ES18E03-A La Labor
390511;SENSUNTEPEQUE_2 ;TETRA;Sensuntepequeÿ2
390512;VICTORIA;SBA;ES58704-A Victoria
390513;VICTORIA 2 ;SBA;ES58411-A Victoria 2
390514;EMBALSE;SBA;ES63797-B EMBALSE
390515;ILOBASCO CENTRO ;TORRECOM;TSVTF09040 Ilobasco Centro
390516;CERRON GRANDE;TETRA;San Sebastian Cerron Grande
390517;LOS HOYOS;TETRA;LOS HOYOS
390518;SENSUNTEPEQUE CENTRO ;TORRECOM;TSVTF09087 Sensuntepeque Centro
390601;SAN MIGUEL I ;TORRECOM;TSVTF12321 SAN MIGUEL I
390602;SAN MIGUEL II ;MOVISTAR;SAN MIGUEL II
390603;SAN MIGUEL III ;TORRECOM;TSVTF12323 SAN MIGUEL III
390604;LOLOTIQUE ;TORRECOM;TSVTF12324 LOLOTIQUE
390605;SAN LUIS LA REINA ;SBA;ES61411-A San Luis La Reina
390606;EL SITIO ;TORRECOM;TSVTF12325 EL SITIO
390607;SANTA ANITA ;SBA;ES61413-A Santa Anita, San Miguel
390608;MIRAFLORES ;SBA;ES61414-A Miraflores
390609;CHINAMECA ;TORRECOM;TSVTF12326 CHINAMECA
390610;EL DELIRIO ;TORRECOM;TSVTF12298 EL DELIRIO
390611;EL CUCO ;TORRECOM;El Cuco
390612;EL TRANSITO ;TORRECOM;TSVTF12327 EL TRANSITO
390613;EL TRANSITO II ;SBA;ES61416-A El Transito II
