SITEID;Nombre de Sitio;Torrero;Nombre Torrero
391040;CANTON EL ZAPOTAL;SBA;ES63855-B El Zapotal
391041;CHALATENANGO CENTRO ;VIVA OUTDOOR;412 Rooftop Chalatenango
391042;EL COYOLITO 2 ;SBA;ES58309-A El Coyolito
391044;OJOS DE AGUA;SBA;ES68102-B OJOS DE AGUA
391045;POTONICO;SBA;ES63848-B Potonico
391046;SAN IGNACIO ;SBA;ES58692-A San Ignacio
391047;EL TRIGALITO;TORRECOM;EL TRIGALITO
391048;ARCATAO;SBA;ES63857-B Arcatao
391049; CHALATENANGO DIGICEL;PHOENIX;SV-CH-1000 Chalatenango
391101;SAN VICENTE ;TORRECOM;TSVTF10367 SAN VICENTE
391102;CERRO GRANDE ;SBA;ES60472-A Cerro Grande
391103;APASTEPEQUE ;SBA;ES62498-A Apastepeque
391104;LA CEIBITA ;TORRECOM;TSVTF10368 LA CEIBITA 
391105;SAN SEBASTIAN (SAN VICENTE) ;MOVISTAR;San Sebastian San Vicente
391106;TEPETITAN ;TORRECOM;TSVTF10370 TEPETITAN
391107;TECOLUCA ;PHOENIX;SV-SV-1040 TECOLUCA 2
391108;QUEBRADA SECA ;SBA;ES62497-A Quebrada Seca
391109;TECOLUCA PUEBLO ;SBA;ES18E84-A Tecoluca 2 Sur
391110;SAN ILDEFONSO ;PHOENIX;SV-SV-1039 San Ildefonso
391111;SANTO DOMINGO ;SBA;ES58570-A Santo Domingo (San Vicente)
391112;APASTEPEQUE PUEBLO;PHOENIX;SV-SV-1005 Apastepeque
391113;SAN VICENTE 2 ;SBA;ES61312-B San Vicente 2
391114;SANTA CLARA ;PHOENIX;SV-SV-1038 San Felipe
391115;SAN ESTEBAN CATARINA ;SBA;ES58456-A San Esteban Catarina
391116;SAN LORENZO SAN VICENTE ;SBA;ES58463-A SAN LORENZO LA PAZ VOLCANO
391117;SANTA CLARA 2 ;SBA;ES18E33-A Santa Clara 2 (Ciudad)
391118;GUADALUPE;SBA;ES58537-A Guadalupe
391119;VERAPAZ ;SBA;ES18E10-A Verapaz
391120;APASTEPEQUE 2;SBA;ES58715-A Apastepeque Volcano
